*----------------------------------------------------------*
McMINOS Version 0.815   -   Levelliste
*----------------------------------------------------------*

Level   Geheimzahl  Titel:

0       0________   Der Beginn der Suche
1       0815_____   In den Ecken warten sie auf Dich
2       024168442   Die verhexte Hütte
3       1188_____   Die enge Schlucht
4       (2299)      Hinter Dir ...
5       123456781   Das Dorf Trilwarthanan
6       4711_____   Das Schloß hinter den Felsen
7       4812_____   Schlüssel und Türen
8       31415927_   Das Labyrinth
9       831451___   Hexagon
10      1602177__   Vier Steine
11      166054___   Bomben-Harry
12      37392____   Felsen über Felsen
13      13131313_   Schneller als der Wind
14      1008_____   Die Kammern von Schloß Wardinant
15      15_______   Unten auf der Straße
16      415______   Lauf, lauf schnell!
17      914789717   Criss Cross
18      (679849851) Löcher im Boden
19      600000012   Nur eine Chance
20      245112333   Der sprudelnde Felsenfluß
21      100200300   Die Stadt Rarastapol
22      969798___   Durch den Spiegel
23      980665___   Der Schatz von Rarastapol
24      6734632__   Durch die Straßen gejagt
25      302302302   Verrückter Weg


*----------------------------------------------------------*
